id,comentario,clasificacion
1447,No puedo ingresar me dice sobre permiso,no_relevante
1448,"Intento loguearme , pero cuando llego a la opción de escoger el método de verificación no me aparece nada , ni seleccionar sms ni llamada y si quiero avanzar no me lo permite , supuestamente la última versión es la mejor, pero no es así realmente.",relevante
1449,Muy rápido,no_relevante
1450,"Es la peor actualización, llevo 3 días tratando de acceder y tengo que esperar a que me envíen un mensaje de confirmación que llega cada media hora y para cuando lo pongo la sesión ya caduco... No puedo entrar",relevante
1451,"Pésimo servicio, probablemente de lo peor que hay. Te cobran 6 soles para simplemente transferir tu dinero de inmediato y ni siquiera lo hacen, yo pagué a otra cuenta y pagué la comisión porque estaba apurado y ya van 5 días que no se recibe el dinero, me lo quitaron de mi cuenta y en la otra no aparece el dinero. Intenté solucionar con el agente virtual y siguen sin ayudarme.",relevante
1452,"ya no puedo ver mis deudas, no puedo ver mi puntaje crediticio, para lo único que uso Interbank es para eso, si ya quitan esa función, no sirve para nada",relevante
1453,"Nada practico, olvidé mi clave y fuera de darme una solución práctica me dicen que tengo que escribir al chat de Facebook para que ahí me llegue un mensaje automático de ingresa a la web de yape para solucionar el problema posteriormente, me piden llenar un formulario para que en 72 horas me llegue un correo. Nada Práctico. Y mientras tanto? Mal.",no_relevante
1454,"Buen día, desde la última actualización estoy teniendo problemas con el app, no se puede ingresar ya que cuando estás en ese proceso se cierra el app y es engorroso estar haciendo varios intentos para que recién pueda ingresar, porfavor darle solución inmediato.",no_relevante
1455,No está funcionando la aplicación,no_relevante
1456,"Esta app no sirve. Ya llevo 2 dias intentandolo y dice que espere unos cinco minutos. Incluso, he actualizado la aplicacion y nada. Y, lo peor de todo. Estamos 27 de agosto, y recien me descuentan un monto del 22 de julio. En mi estado de cuenta, aparece el descuento, pero ahora me vuelven a descontar. Escándalo.",relevante
1457,"La peor app de todos los bancos , es muy lenta , para ingresar demora bastante tengo que estar prendiendo y apagando mis datos , para transferir siempre me sale error y cuando quiero plinear se cierra en automático y otra vez tengo que volver a ingresar desde el principio , no entiendo un banco mur reconocido con sus colaboradores de sistema no pueden crear una buena app",no_relevante
1458,"Problemas de inicio de sesión. No puedo iniciar sesión usando mi clave web. Dice que ""Usted tiene tres intentos errados"". Cuando sólo intente una vez en el día.😡😡😡 Quiero una solución.",relevante
1459,"Hasta antes de la última actualización (hoy, Oct4, 2022) trabajaba a la perfección, pero después de actualizar no he podido ingresar, me dio un mensaje de error y me pidió que borrara algo pero luego de ello al intentar ingresar sale una pantalla oscura con un círculo brillante al medio y de allí no pasa. Es urgente que solucionen este problema!!",no_relevante
1460,Desde hoy no puedo acceder a banca móvil. Me sale un mensaje de Nueva versión disponible. No hay detalles para AND versión 8.8.3 ...que hicieron?🤦🏻‍♂️,no_relevante
1461,"No funciona hace tiempo, reclamé y me dicen que todo está bien pero no funciona, pide actualización de datos pones el código y siempre sale el mensaje En estos momentos no podemos atenderlo. Un fiasco.",relevante
1462,no se puede ingresar con huella digital,relevante
1463,"Desde las 2 últimas actualizaciones está súper lento. Y ni qué se diga cuando se usa PLIN, se pone peor y cuando se desea compartir la constancia del movimiento, se queda la pantalla en blanco por varios segundos lo que ocasiona que el aplicativo se cierre por ""inactividad"". Espero pronto la puedan mejorar.",relevante
1464,¿Por qué no encriptación visual de saldos en el trabajo todos ven mi teléfono? Es re importante.,relevante
1465,"Malísima, desde esta nueva versión no ha hecho nada más que empeorar y empeorar, es una tortuga, es puro lag y tiempos de espera. En qué estaban pensando? La versión antigua era la mejor aplicación de banca y ahora es un desastre, pésima. No hay justificación, deben volver a la versión anterior. Me indicaron que la actualizara, lo hice, igual, incluso la desinstalé y la volví a instalar y sigue peor, ni siquiera abre se queda en el logo, simplemente no sirve, no se puede hacer nada con ella.",no_relevante
1466,Estimado buenas tardes no puedo entrar a la app ! Dice que escribi mal mi clave Solución por favor,relevante
1467,"Hola, no me permite abrir la aplicación estando ya instalada, tendrán alguna manera de darle pronta solución. Es importante poder saber tener el conocimiento de alguna pregunta frecuente para tener alternativas de solución. Tomando la información del motivo ambiguo que da la app, deja mucho a la imaginación, agradecería por favor un bot talvez, o un foro claro para interactuar sobre situaciones de interrogantes buscando respuestas rápidas y claras, despejando dudas y resolviendo con eficacia..",no_relevante
1468,"Pésima actualización. De la mejor app bancaria pasó a ser una de las peores. Ahora por más que uno marca ""Recordar datos"", esta opción se desmarca sola al iniciar sesión y uno tiene que buscar su tarjeta y escribirlo cada vez que entra, lo cual es muy incómodo. Además de eso, a cada rato te ponen anuncios para adquirir productos cuando uno solo quiere ver sus saldos o hacer operaciones rápidas como Plin. Ojalá lo arreglen de una vez porque se ha vuelto muy mala la app.",no_relevante
1469,"No te deja ingrar a la aplicación, te sale un aviso donde dice ""usted hizo 3 ingresos errados de tu clave""; lo cual no es verdad por qué solo con un solo intento y se bloquea y sale dicho mensaje.",relevante
1470,"En vez de mejorar está demasiado peor. Cuando quiero utilizarla aparece un aviso que dice: HUBO UN ERROR EN LA APLICACION POR FAVOR INTENTELO MÁS TARDE.. La desinstalé e instalé más de 5 veces y sigue en lo mismo. Entonces para que sirve? Por eso no le daría ni una estrella, pero como no hay otra opción para hacer público mi comentario, le doy una, sin que se lo merezca.",no_relevante
1471,"Realmente cada vez peor, no se puede realizar transferencias, se cae la app, no deja plinear y cuando se puede el código de verificación demora una eternidad en aparecer que luego dice que caducó. Realmente cada vez más decepcionado de su servicio móvil y considerando cambiarme a otro banco.",relevante
1472,"Llevo dos días queriendo entrar a la aplicación y me sale ""ocurrió un error inténtalo más tarde"" todo estaba bien, pero desde la última actualización aparece eso y no es mi teléfono porque a otros también les sale lo mismo, realmente es muy fastidioso, que pena que pase eso con una app que consideraba muy buena y útil, ahora que no funciona supongo que mucha gente dejará de usarla, le pongo 2 estrellas porque tengo la esperanza de que se solucione ese problema y pueda volver a usarla.",no_relevante
1473,"Mejoren la aplicación, por favor.",no_relevante
1474,"me gustaría que me respondieran se me cerró la tarjeta por eliminar la app y no me deja transferir dinero, la app no funciona correctamente deberían arreglar eso, soy único usuario y me sale que por eliminar la app y volver a iniciar sesión no puedo hacer transferencias 😀",no_relevante
1475,"Lamentable lo que esta pasando con esta app desde ayer no puedo abrirlo y hoy intente de nuevo y nada, era más práctico antes solo te pedía tu contraseña, ahora te pide número de tarjeta, DNI y clave lo hacen más difícil, así uno se demora más de lo usual para poder hacer un pago, espero mejoren y solo sea un error pequeño, si no tendré que cambiarme de banco para que seguir en algo que no me funciona.",no_relevante
1476,"Es muy mala esta aplicación, a veces se puede hacer plin y a veces no. También, te sale que no hiciste el plin pero al final si lo hizo y esto hace que puedas plinear hasta más de 2 veces al mismo número pensando que todavía no lo haces. No usen este aplicativo",relevante
1477,estoy teniendo problemas para abrir la app por más que coloque mi clave de internet no me permite ingresar me sale que ocurrió un error y así está desde hace 5 días quisiera que me ayuden por favor,relevante
1478,"Necesitaba ver mi saldo urgente y hacer transferencias y me obligó a actualizar, ahora lo hice y no se puede ni entrar, dice que es para mejorar la experiencia pero está peor, si hubiera mejor opción que una estrella le pongo cero estrellas, mucho diseño poca efectividad",no_relevante
1479,"Esta app es una kk. Casi siempre parece algún error de entrada, o están presentando problemas o supuestamente ya ingresé mi clave erróneamente tres veces",relevante
1480,"No abre la aplicación, pensé que tenía que actualizarla pero ese no es el problema, cuando deseo ingresar se cierra rápidamente la aplicación",no_relevante
1481,Pide actualizar la app x q según hay nueva versión x el covid y hay q ingresar otra vez datos. X la pandemia no tenía mi tarjeta conmigo y no pude realizar la actualización ni mi pago del mes Mayo 6 y ya me cobraron la multa encima que efectuaron el pago desde mi cuenta. X fin pude Tener otra vez la app y no hay nada nuevo la app es la misma de antes. Estamos en una emergencia hacemos lo posible x estar al día en los pagos y salen con actualizaciones que a mi parecer no vienen al caso.,relevante
1482,Está pésima la aplicación no se puede ingresar que esperan para solucionar este inconveniente o ya darán de baja. Siendo del estado está entidad es la peor en finanzas. Tienen que mejorar y dar solución urgente para poder usar de manera eficaz la app. Hasta que no lo solucionen le daré solo 1 estrella,no_relevante
1483,"Señores BBVA la ultima actualización simplemente me a defraudado , un sistema súper lento, la app demora como más de 30sg en abrir a la pantalla principal, insegura además ya que al sucedernos un robo con solo l huella nos vaciarian la cuentas, no se puede buscar para hacer pagos con la rapidez de antes no DEMASIADO INEFICIENTE LA ACTUALIZACIÓN",relevante
1484,"esta muy lenta, solo sirve para ver saldos, más para pagar servicios o transferencias te pide token e ir a cajero a configurar, es tedioso en comparación como el app interbank, es más intuitivo.",relevante
1485,No puedo transferir me arroja error a cada rato por más que funciona el token arreglar eso tengo que intentar 20 veces y recién da.,relevante
1486,"Tengo un problema, al momento de ingresar se me cierra la app y me saca inmediatamente. Por favor, solucionen ese problema, me ayudaría bastante ya que me gusta estar informando sobre mi cuenta, datos, etcétera.",no_relevante
1487,"Sigo con el problema de la APP, no carga, se queda en la pantalla del logo, hice de todo en mi cell, ya mande mi correo a soporte ya envíe todos mis datos y del cell que pidieron y hasta ahora no solucionan el problema del APP, Ya vamos por dos semanas, hasta cuando vamos a esperar.",no_relevante
1488,Un DESASTRE el trabajo realizado con ésta última actualización de la App. CERO amigable con el usuario. El objetivo de una aplicación es que sea fácil de utilizar y muy amigable. Un desastre el equipo de UX/UI con éste producto. Hasta pienso cambiarme de banco sólo por la practicidad en hacer mis operaciones de manera mas fácil. La versión anterior era una de mis favoritas entre todos los bancos.,no_relevante
1489,"Últimamente está fallando mucho, desde la última actualización, al momento de yapear según la aplicación no responde y se debería intentar después, sucede lo mismo que veo en otros comentarios que al intentar reiteradas veces, al instante no responde pero después aparece el yapeo en 2 o 3 ocaciones. Y genera mucha incomodidad, e inclusive perdida del dinero. Esta empezando a desagradar la experiencia con la aplicación. A mejorar y mucho",relevante
1490,Por favor agreguen barrera de confidencialidad ya que en el trabajo todos ven mi pantalla. Es re importante. Cuando uso plin me siento expuesto. Pónganse al día! Gracias.,relevante
1491,"Desde la última actualización mayormente no me permite ingresar a la aplicación, y si quiero yapear se queda cargando y me aparece que hubo un error. Horrible esta nueva actualización, solucionen ese problema cuanto antes porque a ese paso van a perder miles de usuarios.",no_relevante
1492,"Srs. Scotiabank, desde el día de ayer he intentado ingresar a la app, pero sale un anuncio que hay un problema con la app y que vuelva a intentarlo...por favor solucionen eso a la brevedad ya que trabajo fuera del área urbana, y solo tengo cobertura wifi satelital",no_relevante
1493,"Muy mal! La app anterior era mas flexible y practica, ingrese para hacer el pago de mi servicio celular y me pide escribir el nombre del servicio, tuve que intentar de varias maneras porque no esta pre establecido los servicios me demore mas de 15 minutos hasta que encontre el nombre del servicio al azar, lugo cuando por fin voy a pagar el recibo, me indica que intente mas tarde, vuelbo e intento mas tarde y resulta lo mismo. La finalidad de un app es facilitar la experiencia del cliente.",no_relevante
1494,"Usaba siempre para hacer pagos y depósitos, y justo ahora me doy con la sorpresa que hay una nueva actualización que según muchos usuarios prometía más efectividad, pero todos coincidimos en que ha sido pésima actualización. En mi caso me pide ingresar documento de identidad y me dice que regrese más tarde. En hora buena! me ha retrasado con algunas transacciones.",no_relevante
1495,"Tengo problemas al acceder, me dice que los datos son invalidos, y al querer modificar la clave me dice que no se puede realizar esa operación, que estara pasando si apenas ayer ingrese, y hoy no entra.",relevante
1496,Buenazo,no_relevante
1497,basura de aplicación no quiere enviar la clave dinámica,relevante
1498,"He tenido muchos inconvenientes, no figura movimientos de compras, tanto así que hay importe retenido por el banco por compras no procesadas. Es una irresponsabilidad de su parte y no la asumen, además quiero pasar saldo de mi alcancía a mi cuenta y disminuye la alcancía y no figura el monto que he pasado a cuenta. Voy al banco y no saben explicar lo que pasa. Es un desastre, que decepción solo espero tener todo en orden para pasarme a otro banco. Ni más interbank",relevante
1499,"Desde la última actualización (Noviembre), la App se cierra cada que realizo una transferencia o pago de servicio. Ya he realizado 4 reclamos, pero hasta el momento solo me mandan a esperar 10 días hábiles. Ninguno de los reclamos generados resolvió el problema.",relevante
1500,pésima fatal la aplicación se sierra y no puedo hacer ningún movimeto,no_relevante
1501,"no funciona el app cada vez que intento abrir la aplicación... abre y se cierra sola, no puedo ingresar absolutamente nada..... por favor arreglen eso... necesito ver mis saldos.",no_relevante
1502,no se como ponerle sonido cua do me llega un yape q no se igual a las otras notificaciones,no_relevante
1503,"Pésimo, estoy intentando pagar y siempre sale clave invalida y me llega otra clave, y así sucesivamente, porque lanzan cambios sin probarlo bien. Me estoy llenando de claves que no son válidas. No debería poner ninguna estrella.",relevante
1504,"Un asco de app. Sin motivos, no puedo realizar movimientos bancarios como Plin, retiro sin tarjeta, etc. Tengo en vano esta app.",no_relevante
1505,"buenas noches, hoy me pagaron, pero no me subió el crédito, es mi primera vez que me sucede esto, de la nada abro mi cuenta y no encuentro mi pago de la semana, por favor necesito una solución",relevante
1506,Pésima aplicación no la recomiendo no se puede ni abrir la aplicación,no_relevante
1507,en la app no se puede plinear y es lenta la app un desastre,no_relevante
1508,"No se puede hacer transferencias y para lo poco que servía era ver el saldo, ahora ni eso porque al momento de intentar entrar a la app dice que realicé 3 intentos fallidos cuando era el primero del día y puse correctamente mi clave. Ojalá pudieran mejorar su servicio ya que ni en el mismo banco pueden dar una solución",relevante
1509,"Últimamente entre las 5 de la tarde en adelante cuando quiero ingresar a la banca móvil, me bota error estamos trabajando en ello, Se agradece que solucionen, ya que muchas veces necesito hacer transferencias por la app y no me deja, Muy pesimo la verdad... :(",no_relevante
1510,La app más despreciable que conozco no se puede ver ningún movimiento siempre está en mantenimiento. En pocas palabras no puedo hacer uso de mi dinero,no_relevante
1511,"La aplicación iba muy bien hasta la versión anterior, está nueva actualización no me gusta para nada. Ayer me realizaron 3 yapes y no me aparecen en los movimientos, sin embargo las personas me enviaron su pantallazo dónde salía el pago exitoso. Deberían mejorar eso porque eso trae problemas para los que tenemos negocios. Gracias",relevante
1512,me rechaza la configuración de mis compras por internet aduciendo que debo de usar el ccv dinámico y no me dice como,relevante
1513,es una basura lo del token digital mala experiencia NO RECOMIENDO ESTE BANCO,relevante
1514,"Esta aplicación siempre ha sido la solución para todas mis operaciones. Pero esta última actualización, simplemente dejo mucho que desear. Una reverenda porquería y lamentablemente un mal necesario porque ahora para hacer operaciones demora más y encima no actualiza el saldo. Pdta: Estimado bot (o persona que lo diseña) y que respondes en automático a todos: ni te animes a que mande un correo o WhatsApp xq nadie lo hara. Toma nota de está queja y las demás, y soluciona el problema. Gracias.",relevante
1515,"Que desastre total esta aplicacion!!! pague el mantenimiento del edificio donde vivo, son 6 meses adelantados, monto considerable, obvio necesito el recibo para mi archivo y para la administracion, pero la app no genero absolutamente nada, ni voucher ni notificacion ni registro, ahora me quieren cobrar nuevamente y hasta amenzan con cortarme servicios, no tengo como demostrar que ya pague todo, es desesperante esta situacion",relevante
1516,"Últimamente el aplicativo tiene diferentes errores, ahora no puedo ingresar a valor mis pago porque sale error en la aplicación, intentar más tarde. Llevo con ese mensaje 2 días.",no_relevante
1517,"aveces no entra , suupuestamente x error de conexión",no_relevante
1518,éstos últimos días la app tiende a cerrarse al momento de ingresar mi clave de internet.,no_relevante
1519,"Todo estaba bien pero ahora no es compatible con mi celular, por que, ahora no puedo usar la app. Alguna solución gracias",no_relevante
1520,ahora me sale que mensual tengo que actualizar el app. 😒 que fastidio,no_relevante
1521,"No me deja activar la bimetria en xiaomi Redmi note 10 s , porfavor solucionen eso",relevante
1522,"Verdaderamente malisima la actualización, ahora ya no puedo entrar me dice que mi cel esta mal, y antes si podía ingresar con normalidad, ahora nada, para que actualizar por unas animaciones, di lo que queremos es seguridad!!!!, realmente pésima, doy una estrella por que no se puede comentar sin eso",no_relevante
1523,"La manera en que no se puede activar el token y los problemas que tiene la app no me ayudan, no puedo colocar mas de una tarjeta a la app la interfaz se ve muy simple ya no está como para ver tus demas tarjetas, implementen eso porfavor para ver mis demas tarjetas en soles y en dólares",relevante
1524,"Es muy tedioso estar volviendo atrás solo por qué la aplicación no reconoce el rostro y sale error, vuelve a intentarlo más tarde, ya son varias las veces que intento y no reconoce, ando sin yape por qué la misma aplicación cerró mi cuenta de la nada y que hubo un error de conexión, intento otra vez, pongo mi rostro y nada. Ya quiten eso, con solo los datos nesecarios es suficiente, que pereza estar así la verdad",relevante
1525,De lo peor terrible...... quiero hacer movimientos y nunca llega el bendito mensaje de texto . Antes de la actualización de la app nunca tuve estos problemas,relevante
1526,"No funciona, dice ingresaste un dato incorrecto y ustedes nos mandan a su correo para solucionar y no hay respuesta. Si saben que son varias personas que tienen ese problema, lo soluciono al toque.",relevante
1527,"Muy malo la app hace rato llevo queriendo entrar a la app pero no se puede, sale que lo intente más tarde y nada pésima aplicación",no_relevante
1528,"Pésima App, no me parece esta nueva actualización, ya que te limita de muchos servicios que el anterior SI tenía... No se puede activar token digital y la opción de operaciones frecuentes fatal. Por favor mejorar esta nueva versión porque los clientes se están perjudicando.",relevante
1529,"Este app es muy buena, sin embargo si resalto que para ingresar es muy difícil ya que abre y cierra ingreso con mi huella y es lo mismo eso dificulta la operación. falta actualizar",relevante
1530,"Señores que sucede con su app? En estos tiempos de aislamiento la gente no debería acudir a sus agencias, el token digital se desactiva solo y ahora sale un error si queremos volver a activarlo. Pésimo enserio, no puedo hacer transferencias ni pagar mis servicios básicos online. Van a perder muchos clientes si sigue este error, solucionen en la siguiente versión pero ya!",relevante
1531,"no carga.. y una vez que carga...la información no es práctica.. no sale tu estado de cuenta de nanera clara.. no puedes pagar desde otros bancos.. mala aplicación.. se espera mas ahora que son un ""banco""... Ademasss.. es recontra lenta está aplicación!!!!",relevante
1532,mala,no_relevante
1533,Pues esta aplicación no sirve quiero ingresar y me sale error intente mas tarde porque falla la aplicacion igual tambn es cuendo ingreso por pagina web no quiere cargar me sale error porque esta asi la plataforma no sirve !!!!!,no_relevante
1534,"Cada que quiero usar plin, el código me llega después de mucho tiempo, y cuando llega, me sale un aviso de que la operación está tomando demasiado tiempo y se cancela el plin, llevo más de un mes con el mismo problema y necesito una solución",relevante
1535,"No se puede ingresar con la contraseña desde que la aplicación se actualizó y no te ofrecen un modo seguro de recuperar la contraseña en caso de olvido, no hay soporte al cliente. Tiene una serie de deficiencias. Leo casos de personas que han perdido dinero. Antes de instalar esta aplicación piensenlo muy bien y mejor busquen otras opciones.",relevante
1536,hasta cuando van arreglar esta aplicación reinicié 20 veces al día para que habrá es un desastre estar asi,no_relevante
1537,Mala experiencia con esta aap primero cuando quise hacer transferencia se bloqueó la tarjeta y luego me pide que valide la tarjeta....ahora que ya lo valide cuando quiero realizar la transferencia no me llega el cod ....me dijeron que que eliminé la app y reinicié mí cel y ahora que no se puede descargar la app. Terrible,relevante
1538,"La reinstalé porque volví a tener actividad en este banco pero resulta que la actualización de la aplicación está peor que la anterior. Todo iba bien hasta que me dijo que traté de ingresar 3 veces incorrectamente, lo cual no sucedió (por lo menos no de mi parte) y nunca más pude volver a entrar. Me salía error, en estos momentos no podemos atender su solicitud, una y otra vez en varios días así que la desintalé de nuevo. No sé si les importa pero están haciendo un PÉSIMO trabajo",relevante
1539,"el token no puede ser con sms o reconocimiento facial, perdida de tiempo para ir hasta una agencia.",relevante
1540,La peor aplicación pésima nunca está disponible siempre sale en estos momentos estamos presentando inconvenientes intenta más tarde. Sumamente mala aplicación no le daría ni una estrella solo para poder compartir mi opinión le di una pero no merece ni una estrella,no_relevante
1541,"Se cuelga y no se puede acceder. Días domingos y/o en las noches no se puede acceder. Leyendo comentarios, me doy cuenta que es un problema que inicio en diciembre con las actualizaciones, yo me he percatado recién hace unos días, al igual que todos desinstale e instale... de ello ya hace 3 días y hasta el momento nada, mi equipo es S10e. Esperemos que se actualice pronto la app!",no_relevante
1542,"Deberían estar al tanto de la aplicación, aveces cuando la nesecitas no quiere entrar o dice que ingresaste 3 veces la clave incorrecta, arreglen eso por favor",relevante
1543,"De ser una excelente app paso a ser la que más problemas ha registrado en este 2021. Al día de hoy sigue siendo en ocasiones imposible acceder a ella. No se sabe en qué han fallado para que terminen siendo la app con más fallas en el mercado bancario. Lamentable, ojalá la puedan arreglar. Saludos BCP.",no_relevante
1544,Me parece que está fallando al momento de crear mi cuenta DNI cuando confirmo la clave parece otro indicando que cree el clave paro no aparecen los números ya o será q mi teléfono ya no es compatible con el app,relevante
1545,"una porquería la app quiero pagar mi tarjeta de crédito y no me aparecen mis cuentas de ahorro, servicio al cliente por chat no ayuda en nada solo te da respuestas obvias, volví a instalar mi aplicativo y no recuerdo la contraseña, me doy recuperar contraseña me manda un correo con un código para el cambio de contraseña, pongo el código y me sale que ya expiro, ya no puedo intentar más porque si no me bloquean los servicio, el peor aplicativo de bancos no hay un soporte que te pueda ayudar.",relevante
1546,muy lento,no_relevante
1547,la App mucho fastidia y no carga el servicio,no_relevante
1548,Eh intentado habilitar la opción de compras por internet y no me permite... Ya actualice la app y nd ... Solo en la parte inferior me sale para más información de la desactivación me sale que tengo que llamar al número de la empresa... La verdad un desastre,no_relevante
1549,"La aplicación no abre, entro y en menos de 2 segundos se vuelve a cerrar, no puedo hacer ninguna operación, y encima ir al banco es peor aún. En plena era digital es indignante que no puedan actualizar su aplicativo.",no_relevante
1550,"Me gustaba más la anterior versión, pero bueno... Ahora hago una transferencia y no actualiza los saldos de la página principal, favor de corregir!, no soy el único que ha comentado este problema. Otro problema es que no permite autocompletar palabras y aparte no te deja poner tildes. Favor de corregir.",relevante
1551,"No puedes nisiquiera iniciar sesión porque te pide la clave digital, eso está mal, osea para la transacción si es bueno pero para poder iniciar sesión y ver tu estado de cuenta no debería ser importante, uno que trabaja y no tiene tiempo de estar llendo al banco, supuestamente crean la banca móvil por esta razón",no_relevante
1552,"Estimados , este mes con la app no se puede visualizar los movimientos de la cuenta , sale hemos tenido un inconveniente al cargar tus movimientos con datos o wifi sale los mismo ,por la web sale de la misma manera , verifiquen eso .",relevante
1553,"Buenos días disculpe, siempre he usado el aplicativo del banco para realizar mis gestiones y me enviaban la clave digital pero ahora ingreso y me rechaza se cierra el aplicativo de forma automática. No sé que hacer, espero pueda ayudarme. Gracias.",relevante
1554,"todo estaba bien, hasta, hace unos meses atrás cuando recargue en un agente desapareció algo de 13 soles, ahora ya desapareció más de 30 soles y no hay ningún rastro de ello. voy eliminar mi cuenta. mala experiencia.",relevante
1555,"Desde la última actualización está aplicación no abre en mi celular. Siempre he tenido problemas de todo tipo, con Plin, mantenimientos de la nada, imposible de ver mis pagos y hasta dijo que mi Dni no existía 🤣. La verdad muy mala experiencia, no la recomiendo.",no_relevante
1556,Esta muy pecima la app. Pide actualizar datos...y al momento de hacerlo pide el token pero.. Ingresa el token y sale es incorrecto.. Inténtelo otra Ve.. Lo intentado muchas veces y no hay resultados... Lo peor es que no permite realizar ningún movimiento,relevante
1557,"Mala a muy mala, no lo recomiendo. Lo peor es que te brindan solución. Al Actualizar, ya no paso de tipear mi clave, se cierra automáticamente. Dice que esta App actualizada funciona con S. O. Windows desde 7.0 para arriba pero NO ES CIERTO o que pasa que no se interesan por atender este problema de sus clientes",no_relevante
1558,todo esté mes el aplicativo es un desastre no hay forma alguna de poder entrar a la página no está renegando malestar,no_relevante
1559,Muy mala aplicación tenía que ser del banco de la nación presenta muchos problemas por ejemplo hoy tuvo muchos y no me permite ingresar...en general malisisisisisima!!!,no_relevante
1560,está que me llega al pincho últimamente,no_relevante
1561,No sirve esta porquería,no_relevante
1562,Es un tonteria te pide q actualices en un cajero o una agencia mas cercana tu numero de celular y correo electronico. Mi numero y mi correo sigue siendo el mismo es mas me acerque a la agencia de minka. Y me dijeron q no sabian y q habia mas clientes al igual q yo. Q esperemos q solo se actualise la aplicacion es una lastima con escotiabank.,relevante
1563,Una porquería la app siempre que es fin de mes no puedo ingresar a ver mis pago porque siempre me dice o documentos inválidos o que hubo un problema con la app siempre es así que asco de aplicación.,relevante
1564,En el momento que más se necesita falla la aplicación; incluso en días particulares y de día. Espero hagan feebak e invierten en mejorar este servicio,no_relevante
1565,"Intento ingresar una y otra vez, pero la app me dice en estos momentos no hemos podido procesar la operación y que intente más tarde, llevo semanas así por favor solucionen esto, pésimo servicio, en serio da coraje",no_relevante
1566,"la app venía funcionando bien ,pero desde que actualice la última versión el plin de la aplicación está pésima demora en llegar la clave dinámica,al final el tiempo expira y no se puede hacer trasferencias",relevante
1567,"Pesima app, no puedo acceder a mi cuenta. Pero me remito al principio; para tener cuenta en este banco tuve q desenbolsar 500 soles, ya q la afiliacion gratis, por su pag web era imposible ....sin embargo lo hice porque mi empleador me lo solicito. Me dijeron q luego de 48 horas podia hacer movimientos en ella....en fin. Me hicieron el abono de mi salario y zaz....entro....y q creen?...me pide q me acerque al banco o a un cajero para crear mi clave digital...y empezo mi pesadilla................",relevante
1568,"Es instalado la app como tres veces, me pide colocar el numero de la tarjeta y también mi número de DNI, pero pese a que los coloco de manera correcta y me indica que los datos no son correctos sinsinceramente me fastidia mucho tener esta mala experiencia ya que recién aperture la cuenta.",relevante
1569,"ÚLTIMAMENTE TENGO PROBLEMAS AL INGRESAR AL APP, CADA QUE INTENTO ME SALE ""ERROR DE APLICACIÓN INTENTELO MAS TARDE"" Y ES A CADA RATO, OSEA ANTES DE QUE LO ACTUALIZARA ESTABA BIEN PER AHORA YA NI ENTRAR PARA MIS MI SALDO O MOVIMIENTO, ENTONCES TENGO QUE DESINSTALAR TODAS LAS VECES QUE QUIERO INGRESAR PARA PODER RECIEN ENTRAR Y LO PEOR NO ES ESO SI NO QUE CADA QUE CIERRO LA APP Y QUIERO VOLVER A ENTRAR YA NO ME PERMITE Y TENGO QUE VOLVER A DESINSTALAR E INSTALAR PARA RECIEN PODER ENTRAR, LASTIMA.",no_relevante
1570,"Demasiadooo lento, horrible!!!, es demasiado el tiempo de espera, para entrar a la app cargar un montón, para poder poner mi clave y que cargue la tecla segura carga otra vez, para acceder a mis datos otra carga, para todooooo, demasiado lento arreglen eso porfavor que estresaaa!! , bbva no es así, es super rápido 😠",no_relevante
1571,"No abre la app, abre cuando quiere y está nueva actualización sólo complica todas las funciones. Antes estaba perfecto y como dicen sólo faltaba agregar el reconocimiento de huella digital y estaba perfecto. Pero ahora es difícil de manejar y para empeorar ni siquiera abre.",no_relevante
1572,"Pésima actualización, es demasiado pesada, es lenta, no puedo hacer recargas virtuales porque sale error, cuando hago pagos, también me sale error y/o que no hay conexión a internet, cuando hago alguna operación me dice que revise mi token digital... Y así perdió total fluidez que es lo que más nos interesa, el diseño es lo de menos..",relevante
1573,"La Peor App de un banco que he podido manejar es una mier.... el banco cobra por absolutamente todo y no tiene para invertir en un buen sistema o buenos programadore, vive caído, todo el tiempo tiene problemas, no muestra nada mas que 20 movimientos y no los muestra con detalles, solo el deposito y ya, no hay número de operación ni hora ni nada toca esperar un mes para que te den la información que asco BCP asqueroso VIVEN TENIENDO ERRORES, MANEJAE EL DINERO ES UNA PRIORIDAD COMO ES POSIBLE!!!",relevante
1574,"Qué desgracia, la app era muy buena pero desde diciembre que me anda fallando al igual que otros con Huawei creo. El punto es que, solo puedo usarlo por unas horas y después cuando intento entrar otra vez me dice que algo salió mal y solo da ese mensaje, arreglen eso por favor, tengo que desinstalar e instalarlo y tomarme las fotos de seguridad para usar plin a diario... ZzZzZ",relevante
1575,no me gusta,no_relevante
1576,"Desde un tiempo aquí no puedo hacer mis transacciones, la clave dinámica nunca llega, es un fastidio",relevante
1577,"Tengo un s10 plus y no puedo abrir la aplicación, lo intenté muchas veces pero no se puede. Deberian arreglar ese problema ya que necesito usar la aplicación. Gracias.",no_relevante
1578,no abre,no_relevante
1579,"Cambie de teléfono y no puedo acceder a la aplicación!! Es necesitaría una actualización que solucione el problema, no se puede ingresar a la aplicación",no_relevante
